Date,Entertainment,Tech,Pharma
2021-09-27,153.00480258717926,170.74307515638588,131.34204519326644
2021-10-04,147.91947864704022,162.8984776834473,126.58707364963131
2021-10-11,148.03084191872236,166.26515462159418,127.15242089880006
2021-10-18,150.22088302476274,172.9875206714983,128.31339686772083
2021-10-25,149.83113369609845,174.85791215354118,133.08856701507204
2021-11-01,149.27431733768776,177.4544013870311,134.93605720297163
2021-11-08,150.96323109523294,184.81489325343995,134.92591681363658
2021-11-15,151.18598713489482,183.890720000721,134.24951833150658
2021-11-22,146.10064844660698,186.37717499170714,133.63371566052476
2021-11-29,144.46737945453089,187.19134866383524,133.59332667058806
2021-12-06,140.92252915414056,183.40659706323476,132.36169667613814
2021-12-13,141.60926195543934,189.54582842145143,137.14693325536572
2021-12-20,140.9520549480629,182.50796964032372,138.39350265646974
